            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
213021344,Newport," 10,192 "," 10,489 "," 10,961 "," 11,216 ","11,533", 41 , 41 , 41 , 41 , 41 ," 735,169,208 "," 788,814,906 "," 842,700,631 "," 899,736,722 ","961,888,697"," 59,917 "," 62,029 "," 63,703 "," 66,161 ","69,816"," 72,132 "," 75,204 "," 76,882 "," 80,219 ","83,403",,,,,,,,,
213021345,Seabrook," 2,786 "," 2,783 "," 2,868 "," 3,015 ","3,020", 41 , 41 , 41 , 41 , 41 ," 153,134,509 "," 158,582,614 "," 164,477,004 "," 181,650,031 ","184,735,807"," 49,618 "," 50,940 "," 51,243 "," 52,078 ","53,840"," 54,966 "," 56,983 "," 57,349 "," 60,249 ","61,171",,,,,,,,,
213021346,Williamstown," 9,309 "," 9,534 "," 9,706 "," 9,996 ","10,154", 47 , 47 , 47 , 47 , 47 ," 770,959,264 "," 811,289,142 "," 848,889,914 "," 906,318,222 ","958,028,224"," 60,111 "," 61,220 "," 62,563 "," 63,892 ","65,886"," 82,819 "," 85,094 "," 87,460 "," 90,668 ","94,350",,,,,,,,,
213031347,Braybrook," 8,465 "," 9,056 "," 9,656 "," 10,124 ","10,693", 35 , 34 , 34 , 34 , 34 ," 400,823,344 "," 440,990,862 "," 481,246,701 "," 521,688,650 ","565,601,826"," 41,650 "," 42,143 "," 43,162 "," 43,989 ","45,758"," 47,351 "," 48,696 "," 49,839 "," 51,530 ","52,895",,,,,,,,,
213031348,Footscray," 8,912 "," 9,544 "," 10,319 "," 10,932 ","11,301", 33 , 33 , 33 , 33 , 33 ," 445,189,256 "," 485,662,244 "," 543,435,818 "," 606,931,520 ","652,076,504"," 42,376 "," 43,427 "," 44,970 "," 46,955 ","49,243"," 49,954 "," 50,887 "," 52,664 "," 55,519 ","57,701",,,,,,,,,
213031349,Maribyrnong," 7,163 "," 7,539 "," 8,028 "," 8,254 ","8,528", 37 , 36 , 36 , 36 , 36 ," 437,684,388 "," 468,139,895 "," 502,282,510 "," 533,588,726 ","566,293,860"," 50,749 "," 50,850 "," 51,291 "," 52,575 ","54,054"," 61,104 "," 62,096 "," 62,566 "," 64,646 ","66,404",,,,,,,,,
213031350,Seddon - Kingsville," 5,391 "," 5,466 "," 5,766 "," 5,893 ","6,027", 38 , 38 , 38 , 39 , 39 ," 354,330,929 "," 375,479,991 "," 414,450,214 "," 442,465,897 ","471,420,532"," 56,850 "," 58,898 "," 60,578 "," 63,841 ","66,372"," 65,726 "," 68,694 "," 71,878 "," 75,083 ","78,218",,,,,,,,,
213031351,West Footscray - Tottenham," 6,588 "," 6,751 "," 7,018 "," 7,297 ","7,505", 36 , 36 , 36 , 36 , 36 ," 354,380,292 "," 372,532,094 "," 402,860,269 "," 436,982,371 ","472,777,662"," 48,038 "," 48,682 "," 50,429 "," 51,551 ","54,086"," 53,792 "," 55,182 "," 57,404 "," 59,885 ","62,995",,,,,,,,,
213031352,Yarraville," 8,657 "," 9,051 "," 9,239 "," 9,495 ","9,714", 39 , 39 , 39 , 40 , 40 ," 613,833,720 "," 666,187,317 "," 704,475,985 "," 755,658,530 ","807,524,223"," 59,460 "," 61,872 "," 64,295 "," 66,233 ","69,410"," 70,906 "," 73,604 "," 76,250 "," 79,585 ","83,130",,,,,,,,,
213041353,Bacchus Marsh," 10,840 "," 11,109 "," 11,743 "," 12,241 ","12,832", 43 , 43 , 42 , 42 , 42 ," 615,585,312 "," 643,122,119 "," 699,990,382 "," 754,656,820 ","812,107,265"," 49,051 "," 50,057 "," 51,733 "," 53,816 ","55,049"," 56,788 "," 57,892 "," 59,609 "," 61,650 ","63,288",,,,,,,,,
213041355,Hillside," 10,580 "," 11,322 "," 11,999 "," 13,234 ","13,769", 39 , 39 , 39 , 39 , 39 ," 596,407,195 "," 657,774,610 "," 712,301,053 "," 795,423,527 ","859,239,530"," 50,417 "," 51,853 "," 52,568 "," 53,281 ","55,436"," 56,371 "," 58,097 "," 59,363 "," 60,105 ","62,404",,,,,,,,,
213041356,Melton," 9,112 "," 9,116 "," 9,880 "," 9,851 ","10,019", 41 , 41 , 40 , 40 , 40 ," 445,798,914 "," 455,202,319 "," 501,242,131 "," 511,642,770 ","538,426,019"," 44,872 "," 45,672 "," 46,255 "," 47,357 ","49,429"," 48,924 "," 49,934 "," 50,733 "," 51,938 ","53,740",,,,,,,,,
213041357,Melton South," 10,508 "," 11,310 "," 11,389 "," 13,561 ","14,613", 38 , 38 , 38 , 37 , 37 ," 536,304,500 "," 590,699,337 "," 604,385,749 "," 740,374,944 ","820,527,193"," 47,177 "," 48,199 "," 48,610 "," 50,239 ","51,631"," 51,038 "," 52,228 "," 53,067 "," 54,596 ","56,150",,,,,,,,,
213041358,Melton West," 8,491 "," 8,816 "," 4,859 "," 9,962 ","10,446", 38 , 38 , 40 , 38 , 38 ," 429,538,789 "," 458,982,252 "," 243,206,990 "," 541,031,816 ","577,789,936"," 46,847 "," 47,898 "," 45,460 "," 49,547 ","50,890"," 50,588 "," 52,062 "," 50,053 "," 54,310 ","55,312",,,,,,,,,
213041359,Rockbank - Mount Cottrell, 889 , 961 , 854 ," 2,188 ","3,367", 43 , 41 , 41 , 35 , 35 ," 39,355,483 "," 44,105,301 "," 40,880,743 "," 137,776,845 ","191,944,310"," 38,717 "," 39,657 "," 43,924 "," 48,697 ","51,869"," 44,269 "," 45,895 "," 47,870 "," 62,969 ","57,008",,,,,,,,,
213041360,Taylors Hill," 9,648 "," 9,909 "," 10,356 "," 10,512 ","10,902", 38 , 39 , 39 , 40 , 40 ," 535,747,566 "," 570,988,702 "," 610,038,044 "," 642,530,111 ","690,793,552"," 49,612 "," 51,444 "," 52,300 "," 53,453 ","55,206"," 55,529 "," 57,623 "," 58,907 "," 61,123 ","63,364",,,,,,,,,
213041461,Burnside," 2,326 "," 2,415 "," 2,604 "," 2,694 ","2,803", 42 , 42 , 41 , 41 , 41 ," 116,605,297 "," 125,095,178 "," 139,103,648 "," 149,837,017 ","158,207,119"," 45,862 "," 46,839 "," 48,628 "," 49,747 ","51,099"," 50,131 "," 51,799 "," 53,419 "," 55,619 ","56,442",,,,,,,,,
213041462,Burnside Heights," 2,986 "," 3,068 "," 3,251 "," 3,289 ","3,419", 37 , 37 , 38 , 38 , 38 ," 160,781,382 "," 168,847,842 "," 181,437,517 "," 190,199,501 ","202,846,448"," 49,857 "," 50,484 "," 50,208 "," 50,944 ","53,194"," 53,845 "," 55,035 "," 55,810 "," 57,829 ","59,329",,,,,,,,,
213041463,Caroline Springs," 10,449 "," 10,656 "," 11,113 "," 11,280 ","11,530", 39 , 40 , 40 , 41 , 41 ," 606,721,951 "," 639,716,516 "," 674,630,723 "," 711,678,088 ","738,554,425"," 51,227 "," 52,647 "," 53,155 "," 54,704 ","56,469"," 58,065 "," 60,033 "," 60,706 "," 63,092 ","64,055",,,,,,,,,
213051361,Hoppers Crossing - North," 10,849 "," 10,942 "," 11,196 "," 11,432 ","11,451", 42 , 42 , 41 , 41 , 40 ," 562,380,026 "," 577,500,581 "," 600,046,734 "," 629,085,887 ","645,435,168"," 46,152 "," 46,861 "," 47,372 "," 48,776 ","50,021"," 51,837 "," 52,778 "," 53,595 "," 55,029 ","56,365",,,,,,,,,
213051362,Hoppers Crossing - South," 9,912 "," 10,045 "," 10,351 "," 10,645 ","10,907", 42 , 41 , 40 , 40 , 39 ," 484,225,169 "," 498,068,200 "," 520,977,475 "," 546,294,498 ","566,429,792"," 44,223 "," 44,684 "," 44,762 "," 45,768 ","46,357"," 48,852 "," 49,584 "," 50,331 "," 51,319 ","51,933",,,,,,,,,
213051363,Laverton," 4,630 "," 5,039 "," 5,778 "," 6,275 ","6,951", 34 , 34 , 34 , 34 , 34 ," 237,748,549 "," 267,664,421 "," 311,814,559 "," 347,069,839 ","397,099,029"," 45,489 "," 46,065 "," 46,260 "," 46,852 ","48,242"," 51,350 "," 53,119 "," 53,966 "," 55,310 ","57,128",,,,,,,,,
213051365,Tarneit," 17,057 "," 18,045 "," 20,308 "," 22,755 ","25,458", 35 , 35 , 35 , 35 , 35 ," 886,528,726 "," 951,624,729 "," 1,084,558,681 "," 1,236,065,895 ","1,400,237,891"," 47,439 "," 48,078 "," 48,186 "," 48,616 ","49,502"," 51,974 "," 52,736 "," 53,405 "," 54,321 ","55,002",,,,,,,,,
213051366,Truganina," 10,181 "," 11,666 "," 13,583 "," 15,094 ","17,078", 34 , 34 , 34 , 35 , 35 ," 521,104,519 "," 607,620,937 "," 723,065,835 "," 817,100,600 ","946,544,389"," 47,392 "," 48,320 "," 48,291 "," 48,546 ","49,591"," 51,184 "," 52,085 "," 53,233 "," 54,134 ","55,425",,,,,,,,,
213051368,Werribee - South," 6,281 "," 6,384 "," 6,914 "," 7,428 ","8,336", 44 , 44 , 43 , 42 , 41 ," 347,566,917 "," 361,514,061 "," 411,841,714 "," 455,730,147 ","528,354,230"," 46,980 "," 48,154 "," 50,542 "," 52,000 ","54,254"," 55,336 "," 56,628 "," 59,566 "," 61,353 ","63,382",,,,,,,,,
213051369,Wyndham Vale," 11,204 "," 11,446 "," 13,064 "," 13,931 ","15,141", 37 , 37 , 36 , 36 , 36 ," 587,312,582 "," 605,565,884 "," 709,902,977 "," 783,327,958 ","878,728,157"," 48,961 "," 49,006 "," 50,157 "," 51,493 ","53,042"," 52,420 "," 52,906 "," 54,340 "," 56,229 ","58,036",,,,,,,,,
213051464,Point Cook - East," 6,022 "," 6,471 "," 7,939 "," 8,924 ","9,880", 39 , 39 , 38 , 38 , 38 ," 408,422,893 "," 436,076,978 "," 527,250,474 "," 598,544,858 ","678,916,585"," 54,002 "," 53,423 "," 53,208 "," 53,150 ","54,778"," 67,822 "," 67,389 "," 66,413 "," 67,071 ","68,716",,,,,,,,,
213051465,Point Cook - North," 12,284 "," 12,419 "," 12,983 "," 13,399 ","13,669", 38 , 39 , 39 , 39 , 40 ," 741,874,370 "," 765,604,307 "," 803,740,345 "," 859,569,166 ","890,452,055"," 53,200 "," 53,827 "," 53,362 "," 54,720 ","55,479"," 60,394 "," 61,648 "," 61,907 "," 64,152 ","65,144",,,,,,,,,
213051466,Point Cook - South," 7,140 "," 7,801 "," 8,772 "," 9,319 ","10,044", 35 , 36 , 36 , 37 , 37 ," 437,315,546 "," 491,141,554 "," 559,100,895 "," 613,810,214 ","685,206,949"," 54,115 "," 55,248 "," 55,310 "," 57,871 ","59,244"," 61,249 "," 62,959 "," 63,737 "," 65,867 ","68,221",,,,,,,,,
213051467,Werribee - East," 9,303 "," 9,533 "," 9,839 "," 10,101 ","10,231", 40 , 40 , 39 , 39 , 39 ," 446,970,533 "," 465,663,088 "," 493,615,343 "," 520,390,367 ","541,760,223"," 43,750 "," 44,434 "," 45,201 "," 46,229 ","48,183"," 48,046 "," 48,847 "," 50,169 "," 51,519 ","52,953",,,,,,,,,
213051468,Werribee - West," 6,377 "," 6,798 "," 7,605 "," 8,485 ","9,783", 42 , 41 , 39 , 38 , 37 ," 361,333,783 "," 384,596,306 "," 435,099,470 "," 502,997,515 ","594,999,767"," 47,668 "," 49,162 "," 50,388 "," 52,436 ","54,038"," 56,662 "," 56,575 "," 57,212 "," 59,281 ","60,820",,,,,,,,,
214011370,Carrum Downs," 11,116 "," 11,308 "," 11,691 "," 12,247 ","12,512", 40 , 40 , 40 , 40 , 39 ," 549,981,657 "," 575,621,553 "," 615,829,589 "," 665,068,906 ","706,682,933"," 45,853 "," 47,947 "," 49,134 "," 50,667 ","52,775"," 49,477 "," 50,904 "," 52,676 "," 54,305 ","56,480",,,,,,,,,
214011371,Frankston," 11,712 "," 11,844 "," 12,213 "," 12,820 ","13,243", 42 , 42 , 42 , 41 , 41 ," 571,791,426 "," 594,022,324 "," 627,436,198 "," 682,782,948 ","732,747,364"," 43,836 "," 44,744 "," 46,119 "," 47,388 ","49,025"," 48,821 "," 50,154 "," 51,374 "," 53,259 ","55,331",,,,,,,,,
214011372,Frankston North," 8,729 "," 9,005 "," 9,120 "," 9,526 ","9,834", 42 , 41 , 41 , 40 , 40 ," 388,309,057 "," 415,632,721 "," 432,046,039 "," 462,747,260 ","495,642,667"," 41,910 "," 43,275 "," 44,348 "," 45,692 ","47,096"," 44,485 "," 46,156 "," 47,373 "," 48,577 ","50,401",,,,,,,,,
214011373,Frankston South," 10,968 "," 11,129 "," 11,104 "," 11,240 ","11,338", 46 , 46 , 47 , 47 , 46 ," 640,184,360 "," 673,075,859 "," 695,642,680 "," 734,720,675 ","759,553,151"," 46,180 "," 48,048 "," 49,128 "," 51,192 ","52,775"," 58,368 "," 60,479 "," 62,648 "," 65,367 ","66,992",,,,,,,,,
214011374,Langwarrin," 14,249 "," 14,537 "," 14,621 "," 14,921 ","14,904", 43 , 42 , 42 , 42 , 42 ," 770,956,290 "," 821,206,477 "," 842,606,069 "," 894,844,400 ","925,961,602"," 46,941 "," 48,489 "," 50,307 "," 51,940 ","54,344"," 54,106 "," 56,491 "," 57,630 "," 59,972 ","62,128",,,,,,,,,
214011375,Seaford (Vicnp)," 8,999 "," 9,246 "," 9,402 "," 9,621 ","9,736", 42 , 42 , 42 , 42 , 42 ," 459,974,131 "," 488,178,925 "," 513,663,940 "," 543,854,981 ","568,196,334"," 46,472 "," 48,061 "," 49,253 "," 50,587 ","52,561"," 51,114 "," 52,799 "," 54,633 "," 56,528 ","58,360",,,,,,,,,
214011376,Skye - Sandhurst," 7,403 "," 7,725 "," 7,926 "," 8,102 ","8,253", 41 , 41 , 42 , 42 , 42 ," 436,668,381 "," 470,181,077 "," 491,487,793 "," 521,504,553 ","543,151,927"," 50,545 "," 51,691 "," 52,393 "," 54,210 ","56,067"," 58,985 "," 60,865 "," 62,010 "," 64,367 ","65,813",,,,,,,,,
214021377,Dromana," 5,996 "," 6,313 "," 6,803 "," 7,109 ","7,194", 49 , 49 , 49 , 49 , 49 ," 309,750,419 "," 336,212,478 "," 375,766,638 "," 406,599,503 ","430,105,453"," 39,579 "," 40,208 "," 41,022 "," 42,729 ","45,133"," 51,660 "," 53,257 "," 55,235 "," 57,195 ","59,787",,,,,,,,,
214021378,Flinders," 3,688 "," 3,633 "," 3,720 "," 3,798 ","3,770", 53 , 54 , 54 , 54 , 54 ," 262,873,907 "," 262,045,365 "," 282,203,227 "," 295,317,289 ","309,813,173"," 42,078 "," 43,818 "," 44,455 "," 47,280 ","48,001"," 71,278 "," 72,129 "," 75,861 "," 77,756 ","82,179",,,,,,,,,
214021379,Hastings - Somers," 11,326 "," 11,436 "," 11,921 "," 12,302 ","12,638", 44 , 45 , 44 , 44 , 44 ," 573,782,399 "," 600,357,009 "," 643,220,955 "," 675,541,492 ","718,730,635"," 41,968 "," 43,240 "," 44,595 "," 45,601 ","47,771"," 50,661 "," 52,497 "," 53,957 "," 54,913 ","56,871",,,,,,,,,
214021380,Mornington," 13,350 "," 13,570 "," 14,175 "," 14,518 ","14,806", 47 , 47 , 48 , 48 , 48 ," 745,529,879 "," 776,835,534 "," 830,566,001 "," 874,512,473 ","922,041,718"," 43,052 "," 43,504 "," 44,686 "," 45,608 ","48,011"," 55,845 "," 57,247 "," 58,594 "," 60,236 ","62,275",,,,,,,,,
214021381,Mount Eliza," 11,130 "," 11,208 "," 11,375 "," 11,631 ","11,642", 49 , 49 , 49 , 49 , 49 ," 851,740,842 "," 900,164,826 "," 928,005,376 "," 968,573,618 ","1,004,905,998"," 51,305 "," 52,970 "," 54,529 "," 55,000 ","57,054"," 76,527 "," 80,314 "," 81,583 "," 83,275 ","86,317",,,,,,,,,
214021382,Mount Martha," 10,979 "," 11,103 "," 11,318 "," 11,608 ","11,837", 47 , 47 , 47 , 48 , 48 ," 684,033,349 "," 729,215,185 "," 753,946,850 "," 797,533,797 ","846,089,763"," 45,287 "," 46,597 "," 49,040 "," 49,556 ","51,240"," 62,304 "," 65,677 "," 66,615 "," 68,706 ","71,478",,,,,,,,,
214021383,Point Nepean," 9,735 "," 9,948 "," 10,236 "," 10,605 ","10,772", 50 , 50 , 50 , 50 , 50 ," 514,646,250 "," 567,592,211 "," 611,264,989 "," 639,308,591 ","663,023,638"," 36,863 "," 37,354 "," 39,267 "," 40,382 ","42,054"," 52,866 "," 57,056 "," 59,717 "," 60,284 ","61,551",,,,,,,,,
214021384,Rosebud - McCrae," 10,276 "," 10,456 "," 10,868 "," 11,072 ","11,356", 48 , 49 , 48 , 48 , 48 ," 448,222,056 "," 470,361,839 "," 494,753,910 "," 528,755,832 ","559,703,486"," 35,919 "," 37,336 "," 37,748 "," 39,596 ","41,225"," 43,618 "," 44,985 "," 45,524 "," 47,756 ","49,287",,,,,,,,,
214021385,Somerville," 10,850 "," 11,030 "," 11,166 "," 11,332 ","11,527", 44 , 45 , 44 , 44 , 44 ," 577,909,169 "," 606,977,596 "," 637,260,044 "," 668,311,535 ","697,097,022"," 44,889 "," 46,108 "," 47,929 "," 48,755 ","50,618"," 53,264 "," 55,030 "," 57,071 "," 58,976 ","60,475",,,,,,,,,
215011386,Ararat," 4,080 "," 4,046 "," 4,117 "," 4,258 ","4,213", 46 , 46 , 46 , 46 , 46 ," 185,674,441 "," 188,816,323 "," 197,709,031 "," 209,286,561 ","220,255,875"," 40,314 "," 41,089 "," 41,957 "," 43,904 ","46,014"," 45,508 "," 46,667 "," 48,023 "," 49,151 ","52,280",,,,,,,,,
215011387,Ararat Region," 1,826 "," 1,832 "," 1,845 "," 1,878 ","1,890", 49 , 49 , 49 , 50 , 50 ," 84,343,822 "," 79,230,827 "," 97,092,705 "," 94,973,125 ","114,261,122"," 35,932 "," 35,444 "," 40,640 "," 41,086 ","47,161"," 46,190 "," 43,248 "," 52,625 "," 50,571 ","60,456",,,,,,,,,
215011388,Horsham," 9,202 "," 9,192 "," 9,491 "," 9,612 ","9,682", 45 , 45 , 45 , 45 , 44 ," 443,844,800 "," 443,700,858 "," 480,307,931 "," 504,804,212 ","530,774,083"," 42,020 "," 42,686 "," 44,489 "," 46,612 ","48,609"," 48,234 "," 48,270 "," 50,607 "," 52,518 ","54,821",,,,,,,,,
215011389,Horsham Region," 2,210 "," 2,152 "," 2,205 "," 2,182 ","2,227", 48 , 49 , 48 , 48 , 49 ," 92,080,202 "," 73,755,716 "," 105,336,799 "," 118,305,375 ","130,847,862"," 36,619 "," 33,573 "," 40,886 "," 46,405 ","48,229"," 41,665 "," 34,273 "," 47,772 "," 54,219 ","58,755",,,,,,,,,
215011390,Nhill Region," 3,878 "," 3,775 "," 3,791 "," 3,814 ","3,917", 50 , 50 , 50 , 49 , 50 ," 184,869,780 "," 141,324,300 "," 182,825,681 "," 216,381,249 ","251,100,489"," 39,745 "," 34,734 "," 42,083 "," 45,952 ","47,884"," 47,671 "," 37,437 "," 48,226 "," 56,733 ","64,105",,,,,,,,,
215011391,St Arnaud," 1,895 "," 1,834 "," 1,851 "," 1,872 ","1,871", 50 , 50 , 50 , 50 , 50 ," 77,972,238 "," 70,958,226 "," 80,650,224 "," 89,846,757 ","92,074,351"," 34,585 "," 34,357 "," 36,413 "," 40,191 ","40,796"," 41,146 "," 38,690 "," 43,571 "," 47,995 ","49,211",,,,,,,,,
215011392,Stawell," 4,393 "," 4,299 "," 4,422 "," 4,552 ","4,657", 48 , 48 , 47 , 48 , 48 ," 199,144,531 "," 195,369,800 "," 209,307,372 "," 220,397,672 ","243,544,214"," 39,316 "," 39,828 "," 40,395 "," 42,677 ","46,277"," 45,332 "," 45,445 "," 47,333 "," 48,418 ","52,296",,,,,,,,,
215011393,West Wimmera," 1,599 "," 1,524 "," 1,593 "," 1,597 ","1,616", 51 , 51 , 51 , 51 , 51 ," 66,982,946 "," 66,465,939 "," 79,082,449 "," 80,777,590 ","106,292,278"," 35,643 "," 36,974 "," 41,488 "," 41,948 ","48,912"," 41,891 "," 43,613 "," 49,644 "," 50,581 ","65,775",,,,,,,,,
215011394,Yarriambiack," 3,651 "," 3,416 "," 3,600 "," 3,602 ","3,555", 51 , 51 , 51 , 51 , 51 ," 147,256,468 "," 131,836,089 "," 183,042,838 "," 209,736,150 ","186,537,845"," 34,832 "," 33,733 "," 40,710 "," 46,030 ","44,238"," 40,333 "," 38,594 "," 50,845 "," 58,228 ","52,472",,,,,,,,,
215021395,Irymple," 3,462 "," 3,349 "," 3,731 "," 3,843 ","4,121", 46 , 45 , 45 , 45 , 44 ," 170,772,270 "," 174,384,815 "," 197,254,976 "," 212,895,766 ","238,536,200"," 41,609 "," 42,622 "," 43,111 "," 45,791 ","48,528"," 49,328 "," 52,071 "," 52,869 "," 55,398 ","57,883",,,,,,,,,
215021396,Merbein," 2,444 "," 2,328 "," 2,529 "," 2,588 ","2,612", 46 , 45 , 46 , 46 , 45 ," 104,774,188 "," 103,880,329 "," 114,887,025 "," 121,109,330 ","130,741,309"," 38,239 "," 38,952 "," 40,621 "," 42,744 ","44,855"," 42,870 "," 44,622 "," 45,428 "," 46,796 ","50,054",,,,,,,,,
215021398,Mildura Region," 2,012 "," 1,880 "," 1,996 "," 2,039 ","2,058", 49 , 48 , 49 , 49 , 48 ," 91,954,139 "," 85,278,353 "," 97,024,754 "," 103,515,326 ","100,131,275"," 40,017 "," 37,943 "," 39,705 "," 42,045 ","42,224"," 45,703 "," 45,361 "," 48,610 "," 50,768 ","48,655",,,,,,,,,
215021399,Red Cliffs," 3,066 "," 2,769 "," 2,987 "," 3,024 ","3,188", 45 , 43 , 44 , 44 , 43 ," 129,925,192 "," 118,629,064 "," 135,403,860 "," 137,768,942 ","149,188,367"," 38,564 "," 39,412 "," 40,387 "," 42,248 ","42,024"," 42,376 "," 42,842 "," 45,331 "," 45,559 ","46,797",,,,,,,,,
215021469,Mildura - North," 9,004 "," 9,394 "," 9,785 "," 9,756 ","10,131", 41 , 42 , 42 , 42 , 42 ," 420,780,680 "," 447,216,807 "," 475,830,429 "," 494,113,188 ","539,782,287"," 39,739 "," 40,723 "," 41,417 "," 43,297 ","44,735"," 46,733 "," 47,607 "," 48,629 "," 50,647 ","53,280",,,,,,,,,
215021470,Mildura - South," 6,911 "," 7,097 "," 7,727 "," 8,845 ","8,944", 41 , 42 , 42 , 42 , 42 ," 329,395,121 "," 350,440,863 "," 386,618,119 "," 458,222,783 ","476,213,771"," 42,654 "," 42,913 "," 43,898 "," 45,574 ","47,259"," 47,662 "," 49,379 "," 50,035 "," 51,806 ","53,244",,,,,,,,,
215031400,Buloke," 3,537 "," 3,389 "," 3,449 "," 3,458 ","3,412", 51 , 51 , 50 , 51 , 51 ," 124,563,620 "," 116,544,877 "," 157,760,139 "," 173,938,249 ","161,722,190"," 29,420 "," 28,996 "," 37,000 "," 40,423 ","40,194"," 35,217 "," 34,389 "," 45,741 "," 50,300 ","47,398",,,,,,,,,
215031401,Gannawarra," 3,631 "," 3,501 "," 3,604 "," 3,654 ","3,642", 49 , 49 , 50 , 49 , 49 ," 153,376,974 "," 141,215,190 "," 144,862,627 "," 169,253,693 ","167,870,345"," 37,209 "," 35,131 "," 35,500 "," 39,347 ","40,105"," 42,241 "," 40,336 "," 40,195 "," 46,320 ","46,093",,,,,,,,,
215031402,Kerang," 2,112 "," 2,098 "," 2,014 "," 2,028 ","2,016", 49 , 50 , 49 , 49 , 50 ," 86,811,140 "," 84,928,773 "," 85,588,873 "," 94,164,405 ","95,820,138"," 36,365 "," 36,422 "," 38,204 "," 39,727 ","41,578"," 41,104 "," 40,481 "," 42,497 "," 46,432 ","47,530",,,,,,,,,
215031403,Robinvale," 1,686 "," 1,686 "," 1,764 "," 1,764 ","2,028", 42 , 40 , 41 , 41 , 39 ," 71,730,902 "," 85,565,161 "," 94,477,636 "," 95,353,344 ","114,932,525"," 36,136 "," 37,243 "," 39,272 "," 43,082 ","40,631"," 42,545 "," 50,750 "," 53,559 "," 54,055 ","56,673",,,,,,,,,
215031404,Swan Hill," 6,262 "," 6,219 "," 6,338 "," 6,427 ","6,482", 44 , 44 , 43 , 43 , 42 ," 299,203,376 "," 301,276,976 "," 319,881,613 "," 344,967,138 ","351,742,685"," 42,049 "," 42,773 "," 43,771 "," 46,178 ","47,032"," 47,781 "," 48,445 "," 50,470 "," 53,675 ","54,265",,,,,,,,,
215031405,Swan Hill Region," 3,534 "," 3,352 "," 3,529 "," 3,545 ","3,593", 46 , 47 , 47 , 47 , 46 ," 158,761,781 "," 145,409,548 "," 169,860,517 "," 182,955,774 ","190,111,967"," 38,477 "," 37,364 "," 40,312 "," 43,983 ","45,118"," 44,924 "," 43,380 "," 48,133 "," 51,610 ","52,912",,,,,,,,,
216011406,Echuca," 8,516 "," 8,616 "," 8,821 "," 8,968 ","9,084", 45 , 45 , 45 , 46 , 46 ," 424,886,643 "," 428,604,243 "," 448,327,902 "," 472,595,818 ","495,079,836"," 42,589 "," 42,933 "," 43,457 "," 44,986 ","46,573"," 49,893 "," 49,745 "," 50,825 "," 52,698 ","54,500",,,,,,,,,
216011407,Kyabram," 5,907 "," 5,995 "," 5,921 "," 6,018 ","6,189", 46 , 46 , 46 , 46 , 46 ," 255,728,016 "," 256,732,041 "," 261,920,736 "," 282,724,304 ","294,342,836"," 38,200 "," 38,735 "," 40,467 "," 42,832 ","43,561"," 43,292 "," 42,824 "," 44,236 "," 46,980 ","47,559",,,,,,,,,
216011408,Lockington - Gunbower," 2,111 "," 2,096 "," 2,165 "," 2,221 ","2,267", 47 , 47 , 47 , 47 , 47 ," 93,153,766 "," 86,636,300 "," 92,902,930 "," 104,497,800 ","107,001,159"," 38,603 "," 36,796 "," 37,859 "," 42,116 ","42,995"," 44,128 "," 41,334 "," 42,911 "," 47,050 ","47,199",,,,,,,,,
216011409,Rochester," 2,101 "," 2,136 "," 2,160 "," 2,194 ","2,215", 49 , 49 , 49 , 49 , 48 ," 102,614,168 "," 95,865,659 "," 97,549,907 "," 108,546,747 ","106,477,960"," 40,120 "," 37,002 "," 39,859 "," 42,188 ","42,145"," 48,841 "," 44,881 "," 45,162 "," 49,474 ","48,071",,,,,,,,,
216011410,Rushworth," 2,082 "," 2,059 "," 2,085 "," 2,060 ","2,094", 50 , 50 , 50 , 50 , 50 ," 88,182,758 "," 81,063,672 "," 88,644,127 "," 94,324,272 ","94,881,066"," 35,632 "," 33,363 "," 36,368 "," 38,359 ","39,503"," 42,355 "," 39,370 "," 42,515 "," 45,788 ","45,311",,,,,,,,,
216021411,Cobram," 3,137 "," 3,165 "," 3,227 "," 3,233 ","3,301", 44 , 44 , 44 , 45 , 44 ," 147,725,009 "," 152,776,684 "," 158,778,675 "," 159,867,382 ","164,702,353"," 39,953 "," 41,362 "," 42,445 "," 43,115 ","43,338"," 47,091 "," 48,271 "," 49,203 "," 49,449 ","49,895",,,,,,,,,
216021412,Moira," 1,516 "," 1,500 "," 1,567 "," 1,551 ","1,621", 49 , 49 , 49 , 49 , 49 ," 68,579,493 "," 62,932,200 "," 66,436,034 "," 74,770,378 ","79,764,690"," 35,997 "," 34,324 "," 35,436 "," 40,771 ","41,048"," 45,237 "," 41,955 "," 42,397 "," 48,208 ","49,207",,,,,,,,,
